Colorectal cancer,,,,,ab_c
Epiandrosterone sulfate,HMDB0062657,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](CC[C@]12C)OS(O)(=O)=O,Feces,Not Specified,
Ergosterol,HMDB0000878,[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)\C=C\[C@H](C)C(C)C,Feces,Not Specified,
Eriodictyol,HMDB0005810,OC1=CC(O)=C2C(=O)C[C@H](OC2=C1)C1=CC=C(O)C(O)=C1,Feces,Not Specified,
Erythritol,HMDB0002994,OC[C@H](O)[C@H](O)CO,Feces,Not Specified,
Erythronic acid,HMDB0000613,OC[C@@H](O)[C@@H](O)C(O)=O,Feces,Not Specified,
Ethanolamine,HMDB0000149,NCCO,Feces,Not Specified,
Ethyl glucuronide,HMDB0010325,CCO[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,Feces,Not Specified,
Ferulic acid,HMDB0000954,COC1=C(O)C=CC(\C=C\C(O)=O)=C1,Feces,Not Specified,
FAD,HMDB0001248,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2,Feces,Not Specified,
Flavin mononucleotide,HMDB0001520,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2,Feces,Not Specified,
D-Fructose,HMDB0000660,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,Feces,Not Specified,
L-Fucose,HMDB0000174,C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O,Feces,Not Specified,
Fucosterol,HMDB0030021,C\C=C(\C(C)C)CC[C@@H](C)C1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,Feces,Not Specified,
Fumaric acid,HMDB0000134,OC(=O)\C=C\C(O)=O,Feces,Not Specified,
Furosemide,HMDB0001933,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,Feces,Not Specified,
D-Galactose,HMDB0000143,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,Feces,Not Specified,
Pectic acid,HMDB0003363,O[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O,Feces,Not Specified,
Gallic acid,HMDB0005807,OC(=O)C1=CC(O)=C(O)C(O)=C1,Feces,Not Specified,
gamma-Aminobutyric acid,HMDB0000112,NCCCC(O)=O,Feces,Not Specified,
gamma-CEHC,HMDB0001931,CC1=C(O)C=C2CCC(C)(CCC(O)=O)OC2=C1C,Feces,Not Specified,
gamma-Glutamylglutamic acid,HMDB0011737,N[C@@H](CCC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,Feces,Not Specified,
gamma-Glutamylisoleucine,HMDB0011170,CC[C@H](C)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,Feces,Not Specified,
gamma-Glutamylleucine,HMDB0011171,CC(C)C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,Feces,Not Specified,
gamma-Glutamylmethionine,HMDB0034367,CSCC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,Feces,Not Specified,
gamma-Glutamylphenylalanine,HMDB0000594,N[C@@H](CCC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C(O)=O,Feces,Not Specified,
Genistein,HMDB0003217,OC1=CC=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O,Feces,Not Specified,
Gentisic acid,HMDB0000152,OC(=O)C1=C(O)C=CC(O)=C1,Feces,Not Specified,
Gluconic acid,HMDB0000625,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,Feces,Not Specified,
Glucosamine,HMDB0001514,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,Feces,Not Specified,
D-Glucose,HMDB0000122,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Glucose 6-phosphate,HMDB0001401,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,Feces,Not Specified,
D-Glutamic acid,HMDB0003339,N[C@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
L-Glutamine,HMDB0000641,N[C@@H](CCC(N)=O)C(O)=O,Feces,Not Specified,
Glutaminylglutamine,HMDB0028795,N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(O)=O,Feces,Not Specified,
Glutaminylisoleucine,HMDB0028800,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCC(N)=O)C(O)=O,Feces,Not Specified,
Glutaric acid,HMDB0000661,OC(=O)CCCC(O)=O,Feces,Not Specified,
Glyceric acid,HMDB0000139,OC[C@@H](O)C(O)=O,Feces,Not Specified,
Glycerol,HMDB0000131,OCC(O)CO,Feces,Not Specified,
beta-Glycerophosphoric acid,HMDB0002520,OCC(CO)OP(O)(O)=O,Feces,Not Specified,
Glycine,HMDB0000123,NCC(O)=O,Feces,Not Specified,
Glycitein,HMDB0005781,COC1=C(O)C=C2OC=C(C(=O)C2=C1)C1=CC=C(O)C=C1,Feces,Not Specified,
Chenodeoxycholic acid glycine conjugate,HMDB0000637,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O,Feces,Not Specified,
Glycocholic acid,HMDB0000138,C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,Feces,Not Specified,
Deoxycholic acid glycine conjugate,HMDB0000631,[H][C@]12CCC3C4CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]4(C)[C@@H](O)CC3[C@@]1(C)CC[C@@H](O)C2,Feces,Not Specified,
Glycolic acid,HMDB0000115,OCC(O)=O,Feces,Not Specified,
Sulfolithocholylglycine,HMDB0002639,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)CCC(=O)NCC(O)=O,Feces,Not Specified,
Glycoursodeoxycholic acid,HMDB0000708,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O,Feces,Not Specified,
Glycyl-glycine,HMDB0011733,NCC(=O)NCC(O)=O,Feces,Not Specified,
Glycyl-Isoleucine,HMDB0028844,CCC(C)C(N=C(O)CN)C(O)=O,Feces,Not Specified,
Glycylleucine,HMDB0000759,CC(C)C[C@H](NC(=O)CN)C(O)=O,Feces,Not Specified,
Glycyl-Methionine,HMDB0028847,CSCCC(NC(=O)CN)C(O)=O,Feces,Not Specified,
Glycyl-Phenylalanine,HMDB0028848,NCC(O)=NC(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Glycylproline,HMDB0000721,NCC(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
Glycyl-Threonine,HMDB0028851,CC(O)C(NC(=O)CN)C(O)=O,Feces,Not Specified,
Glycyl-Tryptophan,HMDB0028852,NCC(=O)NC(CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Glycyltyrosine,HMDB0028853,NCC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Glycylvaline,HMDB0028854,CC(C)[C@H](NC(=O)CN)C(O)=O,Feces,Not Specified,
Guanine,HMDB0000132,NC1=NC(=O)C2=C(N1)N=CN2,Feces,Not Specified,
Guanosine,HMDB0000133,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,Feces,Not Specified,
Heptaethylene glycol,HMDB0061835,OCCOCCOCCOCCOCCOCCOCCO,Feces,Not Specified,
Heptanoic acid,HMDB0000666,CCCCCCC(O)=O,Feces,Not Specified,
Hesperetin,HMDB0005782,COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1,Feces,Not Specified,
Hexadecanedioic acid,HMDB0000672,OC(=O)CCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Hexadecanedioic acid mono-L-carnitine ester,HMDB0000712,C[N+](C)(C)CC(CC([O-])=O)OC(=O)CCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Hexaethylene glycol,HMDB0061822,OCCOCCOCCOCCOCCOCCO,Feces,Not Specified,
Hexanoylcarnitine,HMDB0000756,CCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,Feces,Not Specified,
Hexanoylglycine,HMDB0000701,CCCCCC(=O)NCC(O)=O,Feces,Not Specified,
Hippuric acid,HMDB0000714,OC(=O)CNC(=O)C1=CC=CC=C1,Feces,Not Specified,
N-benzoylglycinate,HMDB0062583,OC(=O)CNC(=O)C1=CC=CC=C1,Feces,Not Specified,
Histamine,HMDB0000870,NCCC1=CNC=N1,Feces,Not Specified,
Histidylisoleucine,HMDB0028888,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC1=CNC=N1)C(O)=O,Feces,Not Specified,
Histidylleucine,HMDB0028889,CC(C)C[C@H](NC(=O)[C@@H](N)CC1=CNC=N1)C(O)=O,Feces,Not Specified,
Histidylproline,HMDB0028893,N[C@@H](CC1=CNC=N1)C(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
Histidyltryptophan,HMDB0028896,N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Histidylvaline,HMDB0028898,CC(C)[C@H](NC(=O)[C@@H](N)CC1=CNC=N1)C(O)=O,Feces,Not Specified,
Homocitrulline,HMDB0000679,N[C@@H](CCCCNC(N)=O)C(O)=O,Feces,Not Specified,
Homocysteine,HMDB0000742,N[C@@H](CCS)C(O)=O,Feces,Not Specified,
L-Homoserine,HMDB0000719,N[C@@H](CCO)C(O)=O,Feces,Not Specified,
(S)-Homostachydrine,HMDB0033433,C[N+]1(C)CCCC[C@H]1C([O-])=O,Feces,Not Specified,
Hydrochlorothiazide,HMDB0001928,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,Feces,Not Specified,
3-Hydroxybutyrylcarnitine,HMDB0013127,C[C@@H](O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C,Feces,Not Specified,
hydroxyisovaleroyl carnitine,HMDB0062555,CC(C)CC(=O)OC(O)(CC([O-])=O)C[N+](C)(C)C,Feces,Not Specified,
Hyocholic acid,HMDB0000760,[H][C@@]12CCC([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H](O)[C@H](O)[C@]2([H])C[C@H](O)CC[C@]12C,Feces,Not Specified,
Hypoxanthine,HMDB0000157,OC1=NC=NC2=C1NC=N2,Feces,Not Specified,
L-N-(1H-Indol-3-ylacetyl)aspartic acid,HMDB0038666,OC(=O)CC(NC(=O)CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Indole-3-carboxylic acid,HMDB0003320,OC(=O)C1=CNC2=CC=CC=C12,Feces,Not Specified,
Indoleacetic acid,HMDB0000197,OC(=O)CC1=CNC2=C1C=CC=C2,Feces,Not Specified,
Indoleacetyl glutamine,HMDB0013240,NC(=O)CCC(NC(=O)CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Indolelactic acid,HMDB0000671,O[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Indole-3-propionic acid,HMDB0002302,OC(=O)CCC1=CNC2=C1C=CC=C2,Feces,Not Specified,
Inosine,HMDB0000195,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,Feces,Not Specified,
myo-Inositol 1-phosphate,HMDB0000213,O[C@H]1[C@H](O)[C@@H](O)[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O,Feces,Not Specified,
Isocaproic acid,HMDB0000689,CC(C)CCC(O)=O,Feces,Not Specified,
L-Isoleucine,HMDB0000172,CC[C@H](C)[C@H](N)C(O)=O,Feces,Not Specified,
Isoleucyl-Alanine,HMDB0028900,CCC(C)C(N)C(=O)NC(C)C(O)=O,Feces,Not Specified,
Isoleucyl-Arginine,HMDB0028901,CCC(C)C(N)C(=O)NC(CCCNC(N)=N)C(O)=O,Feces,Not Specified,
Isoleucyl-Asparagine,HMDB0028902,CCC(C)C(N)C(=O)NC(CC(N)=O)C(O)=O,Feces,Not Specified,
Isoleucyl-Aspartate,HMDB0028903,CCC(C)C(N)C(=O)NC(CC(O)=O)C(O)=O,Feces,Not Specified,
Isoleucyl-Glutamate,HMDB0028906,CCC(C)C(N)C(=O)NC(CCC(O)=O)C(O)=O,Feces,Not Specified,
Isoleucyl-Glycine,HMDB0028907,CCC(C)C(N)C(=O)NCC(O)=O,Feces,Not Specified,
Isoleucyl-Isoleucine,HMDB0028910,CCC(C)C(N)C(=O)NC(C(C)CC)C(O)=O,Feces,Not Specified,
Isoleucyl-Leucine,HMDB0028911,CCC(C)C(N)C(=O)NC(CC(C)C)C(O)=O,Feces,Not Specified,
Isoleucyl-Phenylalanine,HMDB0028914,CCC(C)C(N)C(=O)NC(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Isoleucyl-Serine,HMDB0028916,CCC(C)C(N)C(=O)NC(CO)C(O)=O,Feces,Not Specified,
Isoleucyl-Threonine,HMDB0028917,CCC(C)C(N)C(=O)NC(C(C)O)C(O)=O,Feces,Not Specified,
Isoleucyl-Tryptophan,HMDB0028918,CCC(C)C(N)C(=O)NC(CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Isoleucyl-Valine,HMDB0028920,CCC(C)C(N)C(=O)NC(C(C)C)C(O)=O,Feces,Not Specified,
Isopalmitic acid,HMDB0031068,CC(C)CCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Isovaleric acid,HMDB0000718,CC(C)CC(O)=O,Feces,Not Specified,
Isovalerylglycine,HMDB0000678,CC(C)CC(=O)NCC(O)=O,Feces,Not Specified,
Kaempferol,HMDB0005801,OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1,Feces,Not Specified,
Kynurenic acid,HMDB0000715,OC(=O)C1=CC(=O)C2=CC=CC=C2N1,Feces,Not Specified,
Urobilin,HMDB0004160,[H]C(C1=C(CCC(O)=O)C(C)=C(CC2NC(=O)C(C)=C2CC)N1)=C1N=C(CC2NC(=O)C(CC)=C2C)C(C)=C1CCC(O)=O,Feces,Not Specified,
L-Lactic acid,HMDB0000190,C[C@H](O)C(O)=O,Feces,Not Specified,
Lanosterol,HMDB0001251,[H][C@@]1(CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@]1([H])CC3)[C@H](C)CCC=C(C)C,Feces,Not Specified,
Lathosterol,HMDB0001170,[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Feces,Not Specified,
Dodecanoic acid,HMDB0000638,CCCCCCCCCCCC(O)=O,Feces,Not Specified,
Leu-Leu-Leu,HMDB0094648,CC(C)CC(N)C(O)=NC(CC(C)C)C(O)=NC(CC(C)C)C(O)=O,Feces,Not Specified,
L-Leucine,HMDB0000687,CC(C)C[C@H](N)C(O)=O,Feces,Not Specified,
Leucylalanine,HMDB0028922,CC(C)C[C@H](N)C(=O)N[C@@H](C)C(O)=O,Feces,Not Specified,
Leucyl-Arginine,HMDB0028923,CC(C)CC(N)C(=O)NC(CCCNC(N)=N)C(O)=O,Feces,Not Specified,
Leucyl-Asparagine,HMDB0028924,CC(C)CC(N)C(=O)NC(CC(N)=O)C(O)=O,Feces,Not Specified,
Leucyl-Glycine,HMDB0028929,CC(C)CC(N)C(=O)NCC(O)=O,Feces,Not Specified,
Leucylleucine,HMDB0028933,CC(C)C[C@H](N)C(=O)N[C@@H](CC(C)C)C(O)=O,Feces,Not Specified,
Leucylphenylalanine,HMDB0013243,CC(C)C[C@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Leucyl-Threonine,HMDB0028939,CC(C)CC(N)C(=O)NC(C(C)O)C(O)=O,Feces,Not Specified,
Leucyl-Tyrosine,HMDB0028941,CC(C)CC(N)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Leucyl-Valine,HMDB0028942,CC(C)CC(N)C(=O)NC(C(C)C)C(O)=O,Feces,Not Specified,
Levulinic acid,HMDB0000720,CC(=O)CCC(O)=O,Feces,Not Specified,
Lidocaine,HMDB0014426,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,Feces,Not Specified,
Tetracosanoic acid,HMDB0002003,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Linoleamide,HMDB0062656,[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])CCCCCCCC(O)=N,Feces,Not Specified,
Linoleic acid,HMDB0000673,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
alpha-Linolenic acid,HMDB0001388,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
gamma-Linolenic acid,HMDB0003073,CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O,Feces,Not Specified,
Lithocholic acid,HMDB0000761,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,Feces,Not Specified,
Luteolin,HMDB0005800,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=C(O)C(O)=C1,Feces,Not Specified,
L-Lysine,HMDB0000182,NCCCC[C@H](N)C(O)=O,Feces,Not Specified,
Lysylisoleucine,HMDB0028954,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCCCN)C(O)=O,Feces,Not Specified,
Lysylleucine,HMDB0028955,CC(C)C[C@H](NC(=O)[C@@H](N)CCCCN)C(O)=O,Feces,Not Specified,
Lysylphenylalanine,HMDB0028958,NCCCC[C@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Lysylproline,HMDB0028959,NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
Lysyltyrosine,HMDB0028963,NCCCC[C@H](N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Lysylvaline,HMDB0028964,CC(C)[C@H](NC(=O)[C@@H](N)CCCCN)C(O)=O,Feces,Not Specified,
Malic acid,HMDB0000156,O[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Malate,HMDB0000744,OC(CC(O)=O)C(O)=O,Feces,Not Specified,
D-Malic acid,HMDB0031518,O[C@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Malonic acid,HMDB0000691,OC(=O)CC(O)=O,Feces,Not Specified,
Maltol,HMDB0030776,CC1=C(O)C(=O)C=CO1,Feces,Not Specified,
D-Maltose,HMDB0000163,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Mannitol,HMDB0000765,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,Feces,Not Specified,
D-Mannose,HMDB0000169,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Mannose 6-phosphate,HMDB0001078,O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O,Feces,Not Specified,
Heptadecanoic acid,HMDB0002259,CCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
L-Methionine,HMDB0000696,CSCC[C@H](N)C(O)=O,Feces,Not Specified,
Methionine sulfoxide,HMDB0002005,CS(=O)CC[C@H](N)C(O)=O,Feces,Not Specified,
Methionyl-Alanine,HMDB0028966,CSCCC(N)C(O)=NC(C)C(O)=O,Feces,Not Specified,
Methionyl-Phenylalanine,HMDB0028980,CSCCC(N)C(=O)NC(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Methionyl-Threonine,HMDB0028983,CSCCC(N)C(=O)NC(C(C)O)C(O)=O,Feces,Not Specified,
Methylparaben,HMDB0032572,COC(=O)C1=CC=C(O)C=C1,Feces,Not Specified,
Methylphosphate,HMDB0061711,COP(O)(O)=O,Feces,Not Specified,
Methylsuccinic acid,HMDB0001844,C[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
myo-Inositol,HMDB0000211,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,Feces,Not Specified,
Myristic acid,HMDB0000806,CCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Myristoleic acid,HMDB0002000,CCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
"N6,N6,N6-Trimethyl-L-lysine",HMDB0001325,C[N+](C)(C)CCCC[C@H](N)C([O-])=O,Feces,Not Specified,
N-Acetylaspartylglutamic acid,HMDB0001067,CC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
N-Acetyl-L-alanine,HMDB0000766,C[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
N-a-Acetyl-L-arginine,HMDB0004620,CC(=O)N[C@@H](CCCNC(N)=N)C(O)=O,Feces,Not Specified,
N-Acetyl-L-aspartic acid,HMDB0000812,CC(=O)N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
N-Acetyl-b-D-galactosamine,HMDB0000853,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,Feces,Not Specified,
N-Acetyl-D-glucosamine,HMDB0000215,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,Feces,Not Specified,
N-Acetyl-L-glutamic acid,HMDB0001138,CC(=O)N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
N-Acetylglutamine,HMDB0006029,CC(=O)N[C@@H](CCC(N)=O)C(O)=O,Feces,Not Specified,
Acetylglycine,HMDB0000532,CC(=O)NCC(O)=O,Feces,Not Specified,
N-Acetylhistidine,HMDB0032055,CC(=O)N[C@@H](CC1=CNC=N1)C(O)=O,Feces,Not Specified,
N-Acetylisoleucine,HMDB0061684,CC[C@H](C)[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
N-Acetylleucine,HMDB0011756,CC(C)C[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
N-Acetylmannosamine,HMDB0001129,CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,Feces,Not Specified,
N-Acetyl-L-methionine,HMDB0011745,CSCC[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
N-Acetylmuramate,HMDB0060493,[H][C@](C)(O[C@@]1([H])[C@]([H])(O)[C@@]([H])(CO)OC([H])(O)[C@]1([H])N=C(C)O)C(O)=O,Feces,Not Specified,
N-Acetyl-L-phenylalanine,HMDB0000512,CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
N-Acetylproline,HMDB0094701,[H][C@]1(CCCN1C(C)=O)C(O)=O,Feces,Not Specified,
N-Acetylputrescine,HMDB0002064,CC(=O)NCCCCN,Feces,Not Specified,
N-Acetyltryptophan,HMDB0013713,CC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
N-Acetyl-L-tyrosine,HMDB0000866,CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
N-Acetylvaline,HMDB0011757,CC(C)[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
N-Formyl-L-methionine,HMDB0001015,CSCC[C@H](NC=O)C(O)=O,Feces,Not Specified,
N-Methyl-L-proline,HMDB0094696,CN1CCC[C@H]1C(O)=O,Feces,Not Specified,
N-methyl-L-glutamic Acid,HMDB0062660,CN[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
N-Methylhydantoin,HMDB0003646,CN1CC(=O)NC1=O,Feces,Not Specified,
alpha-Methylphenylalanine,HMDB0029223,CC(N)(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Oleoyl glycine,HMDB0013631,CCCCCCCC\C=C/CCCCCCCC(=O)NCC(O)=O,Feces,Not Specified,
N-Propionylalanine,HMDB0094698,[H][C@@](C)(N=C(O)CC)C(O)=O,Feces,Not Specified,
N1-Methyl-2-pyridone-5-carboxamide,HMDB0004193,CN1C=C(C=CC1=O)C(N)=O,Feces,Not Specified,
1-Methyladenosine,HMDB0003331,CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N,Feces,Not Specified,
1-Methylguanosine,HMDB0001563,CN1C(N)=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=O,Feces,Not Specified,
N-alpha-Acetyl-L-lysine,HMDB0000446,CC(=O)N[C@@H](CCCCN)C(O)=O,Feces,Not Specified,
N6-Acetyl-L-lysine,HMDB0000206,CC(=O)NCCCC[C@H](N)C(O)=O,Feces,Not Specified,
N6-Carbamoyl-L-threonyladenosine,HMDB0041623,C[C@@H](O)[C@H](NC(N)=O)C(=O)NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,Feces,Not Specified,
Naproxen,HMDB0001923,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,Feces,Not Specified,
Naringenin,HMDB0002670,OC1=CC=C(C=C1)[C@@H]1CC(=O)C2=C(O1)C=C(O)C=C2O,Feces,Not Specified,
Nervonic acid,HMDB0002368,CCCCCCCC\C=C/CCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Niacinamide,HMDB0001406,NC(=O)C1=CC=CN=C1,Feces,Not Specified,
Nicotinic acid,HMDB0001488,OC(=O)C1=CN=CC=C1,Feces,Not Specified,
Nicotinic acid ribonucleoside,HMDB0006809,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[N+]1=CC=CC(=C1)C(O)=O,Feces,Not Specified,
Nonadecanoic acid,HMDB0000772,CCCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Octadecanedioic acid,HMDB0000782,OC(=O)CCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Octaethylene glycol,HMDB0094680,OCCOCCOCCOCCOCCOCCOCCOCCO,Feces,Not Specified,
Octanoylcarnitine,HMDB0000791,CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,Feces,Not Specified,
Oleanolic acid,HMDB0002364,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,Feces,Not Specified,
Oleic acid,HMDB0000207,CCCCCCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
